Feature 1,Feature 2,Correlation
deficiency_tag_760,deficiency_tag_689,0.36
Rating Cycle 3 Health Deficiency Score,deficiency_tag_600,0.36
deficiency_tag_755,deficiency_tag_684,0.36
dollars_per_fine_count,Rating Cycle 3 Total Health Score,0.36
deficiency_tag_697,deficiency_tag_684,0.36
deficiency_tag_695,severity_code_E,0.36
deficiency_tag_677,Number of Payment Denials,0.36
deficiency_tag_760,severity_code_E,0.36
deficiency_tag_580,severity_code_E,0.36
deficiency_tag_656,deficiency_tag_842,0.36
deficiency_tag_755,deficiency_tag_689,0.36
Total Amount of Fines in Dollars,Rating Cycle 1 Number of Complaint Health Deficiencies,0.36
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_609,0.36
deficiency_tag_925,deficiency_tag_584,0.36
severity_code_F,deficiency_tag_686,0.36
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_725,0.36
Number of Substantiated Complaints,Rating Cycle 1 Number of Standard Health Deficiencies,0.36
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_610,0.36
deficiency_tag_584,Rating Cycle 3 Total Health Score,0.36
severity_code_E,deficiency_tag_692,0.36
severity_code_F,Rating Cycle 1 Total Number of Health Deficiencies,0.36
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_697,0.36
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_725,0.36
deficiency_tag_761,deficiency_tag_812,0.36
severity_code_F,deficiency_tag_609,0.36
Rating Cycle 3 Health Deficiency Score,Rating Cycle 2 Number of Complaint Health Deficiencies,0.36
Rating Cycle 2 Total Health Score,Rating Cycle 1 Total Number of Health Deficiencies,0.36
deficiency_tag_677,deficiency_tag_558,0.36
severity_code_D,deficiency_tag_607,0.36
deficiency_tag_600,Rating Cycle 1 Health Deficiency Score,0.36
deficiency_tag_600,deficiency_tag_584,0.36
severity_code_K,Rating Cycle 1 Total Health Score,0.36
Total Number of Penalties,Rating Cycle 2 Health Deficiency Score,0.36
Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 1 Total Health Score,0.36
Rating Cycle 1 Health Deficiency Score,Number of Payment Denials,0.36
severity_code_G,deficiency_tag_692,0.36
severity_code_F,deficiency_tag_610,0.35
Rating Cycle 1 Total Health Score,Number of Payment Denials,0.35
Rating Cycle 1 Health Deficiency Score,severity_code_G,0.35
Rating Cycle 3 Health Deficiency Score,severity_code_J,0.35
deficiency_tag_689,deficiency_tag_580,0.35
Rating Cycle 2 Total Health Score,Rating Cycle 3 Number of Complaint Health Deficiencies,0.35
deficiency_tag_558,severity_code_E,0.35
deficiency_tag_686,Rating Cycle 1 Number of Complaint Health Deficiencies,0.35
special_focus_status_sff_candidate,Rating Cycle 1 Number of Complaint Health Deficiencies,0.35
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,0.35
Rating Cycle 2 Health Deficiency Score,deficiency_tag_609,0.35
deficiency_tag_609,Rating Cycle 1 Number of Complaint Health Deficiencies,0.35
Rating Cycle 2 Total Health Score,Total Number of Penalties,0.35
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_692,0.35
deficiency_tag_755,Rating Cycle 2 Number of Complaint Health Deficiencies,0.35
deficiency_tag_677,Total Amount of Fines in Dollars,0.35
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_689,0.35
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_609,0.35
deficiency_tag_880,deficiency_tag_656,0.35
deficiency_tag_755,Number of Substantiated Complaints,0.35
Rating Cycle 3 Health Deficiency Score,health_inspection_rating_1,0.35
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_656,0.35
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 1 Health Deficiency Score,0.35
deficiency_tag_757,severity_code_D,0.35
deficiency_tag_610,Number of Payment Denials,0.35
deficiency_tag_880,deficiency_tag_690,0.35
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_760,0.35
Rating Cycle 2 Total Number of Health Deficiencies,Total Number of Penalties,0.35
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_580,0.35
deficiency_tag_761,deficiency_tag_684,0.35
severity_code_D,Number of Payment Denials,0.35
Rating Cycle 3 Health Deficiency Score,deficiency_tag_684,0.35
deficiency_tag_921,severity_code_D,0.35
deficiency_tag_883,severity_code_D,0.35
Rating Cycle 2 Total Health Score,special_focus_status_sff_candidate,0.35
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_761,0.35
deficiency_tag_641,severity_code_D,0.35
deficiency_tag_600,severity_code_J,0.35
Number of Substantiated Complaints,Total Number of Penalties,0.35
Rating Cycle 1 Total Health Score,severity_code_G,0.35
Total Number of Penalties,Rating Cycle 2 Number of Complaint Health Deficiencies,0.35
deficiency_tag_686,Rating Cycle 3 Total Health Score,0.35
Rating Cycle 3 Total Health Score,deficiency_tag_684,0.35
severity_code_F,deficiency_tag_677,0.35
deficiency_tag_584,Rating Cycle 1 Number of Complaint Health Deficiencies,0.35
ownership_for_profit_corporation,ownership_non_profit_corporation,-0.35
severity_code_E,deficiency_tag_578,0.35
Rating Cycle 3 Health Deficiency Score,deficiency_tag_584,0.35
deficiency_tag_600,Rating Cycle 1 Number of Complaint Health Deficiencies,0.35
deficiency_tag_677,deficiency_tag_760,0.35
deficiency_tag_677,Rating Cycle 2 Health Deficiency Score,0.35
Number of Payment Denials,health_inspection_rating_1,0.35
deficiency_tag_761,deficiency_tag_689,0.35
deficiency_tag_689,Rating Cycle 1 Total Health Score,0.35
Rating Cycle 1 Health Deficiency Score,deficiency_tag_584,0.34
deficiency_tag_625,severity_code_D,0.34
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_760,0.34
Number of Payment Denials,Rating Cycle 1 Number of Complaint Health Deficiencies,0.34
deficiency_tag_609,Rating Cycle 1 Total Number of Health Deficiencies,0.34
Rating Cycle 2 Total Health Score,deficiency_tag_677,0.34
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_584,0.34
deficiency_tag_550,severity_code_G,0.34
quality_rating_1,claims_quality_code_552,0.34
deficiency_tag_550,Rating Cycle 1 Total Number of Health Deficiencies,0.34
deficiency_tag_655,severity_code_D,0.34
health_inspection_rating_1,Rating Cycle 3 Total Health Score,0.34
Number of Payment Denials,severity_code_E,0.34
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_725,0.34
deficiency_tag_803,severity_code_E,0.34
mds_quality_code_480,mds_quality_code_451,0.34
deficiency_tag_580,deficiency_tag_686,0.34
Rating Cycle 3 Health Deficiency Score,deficiency_tag_686,0.34
abuse_icon,Rating Cycle 1 Number of Complaint Health Deficiencies,0.34
Rating Cycle 2 Total Health Score,deficiency_tag_584,0.34
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_842,0.34
deficiency_tag_690,severity_code_G,0.34
continuing_care_retirement_community,ownership_non_profit_corporation,0.34
Rating Cycle 2 Total Health Score,deficiency_tag_609,0.34
deficiency_tag_607,deficiency_tag_609,0.34
severity_code_J,Rating Cycle 3 Total Health Score,0.34
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_580,0.34
Rating Cycle 2 Total Health Score,Rating Cycle 3 Total Health Score,0.34
deficiency_tag_760,severity_code_G,0.34
deficiency_tag_760,deficiency_tag_686,0.34
Number of Substantiated Complaints,deficiency_tag_558,0.34
deficiency_tag_610,Rating Cycle 2 Number of Complaint Health Deficiencies,0.34
severity_code_F,Rating Cycle 2 Number of Complaint Health Deficiencies,0.34
dollars_per_fine_count,Number of Payment Denials,0.34
deficiency_tag_842,deficiency_tag_684,0.34
Total Amount of Fines in Dollars,deficiency_tag_684,0.34
deficiency_tag_726,severity_code_E,0.34
deficiency_tag_600,Rating Cycle 1 Total Health Score,0.34
severity_code_E,deficiency_tag_623,0.34
Total Amount of Fines in Dollars,Rating Cycle 1 Total Number of Health Deficiencies,0.34
deficiency_tag_656,deficiency_tag_657,0.34
Total Amount of Fines in Dollars,deficiency_tag_584,0.34
deficiency_tag_558,deficiency_tag_684,0.34
deficiency_tag_584,Rating Cycle 2 Health Deficiency Score,0.34
deficiency_tag_689,deficiency_tag_812,0.34
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_690,0.34
deficiency_tag_756,severity_code_D,0.34
long_stay_quality_rating_1,mds_quality_code_451,0.34
deficiency_tag_656,Rating Cycle 1 Total Number of Health Deficiencies,0.34
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_842,0.34
mds_quality_code_480,mds_quality_code_401,0.34
Number of Substantiated Complaints,deficiency_tag_692,0.34
deficiency_tag_585,severity_code_D,0.34
deficiency_tag_550,Rating Cycle 3 Number of Complaint Health Deficiencies,0.34
special_focus_status_sff_candidate,Rating Cycle 1 Total Number of Health Deficiencies,0.34
Rating Cycle 3 Health Deficiency Score,Rating Cycle 1 Total Number of Health Deficiencies,0.34
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_558,0.34
deficiency_tag_610,deficiency_tag_684,0.34
Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Number of Health Deficiencies,0.34
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_760,0.34
Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Number of Standard Health Deficiencies,0.34
deficiency_tag_584,deficiency_tag_684,0.34
deficiency_tag_756,deficiency_tag_758,0.34
deficiency_tag_695,deficiency_tag_761,0.34
deficiency_tag_695,deficiency_tag_684,0.34
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 1 Health Deficiency Score,0.34
deficiency_tag_689,health_inspection_rating_1,0.34
Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Number of Health Deficiencies,0.34
severity_code_E,deficiency_tag_698,0.34
Total Number of Penalties,deficiency_tag_689,0.34
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_690,0.34
severity_code_G,Rating Cycle 1 Total Number of Health Deficiencies,0.34
deficiency_tag_584,Rating Cycle 1 Total Health Score,0.34
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_684,0.34
deficiency_tag_692,Rating Cycle 1 Total Number of Health Deficiencies,0.34
Number of Payment Denials,Rating Cycle 1 Total Number of Health Deficiencies,0.33
special_focus_status_sff_candidate,health_inspection_rating_1,0.33
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_725,0.33
special_focus_status_sff_candidate,Rating Cycle 2 Health Deficiency Score,0.33
deficiency_tag_697,severity_code_G,0.33
claims_quality_code_552,long_stay_quality_rating_1,0.33
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_550,0.33
deficiency_tag_584,Rating Cycle 1 Number of Standard Health Deficiencies,0.33
deficiency_tag_755,deficiency_tag_761,0.33
Number of Substantiated Complaints,deficiency_tag_580,0.33
deficiency_tag_550,deficiency_tag_686,0.33
Rating Cycle 3 Health Deficiency Score,Rating Cycle 2 Number of Standard Health Deficiencies,0.33
deficiency_tag_842,Rating Cycle 1 Total Number of Health Deficiencies,0.33
deficiency_tag_804,Number of Substantiated Complaints,0.33
deficiency_tag_755,deficiency_tag_760,0.33
Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 3 Total Health Score,0.33
severity_code_E,deficiency_tag_759,0.33
deficiency_tag_609,deficiency_tag_684,0.33
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_755,0.33
deficiency_tag_725,Rating Cycle 3 Total Health Score,0.33
deficiency_tag_880,deficiency_tag_558,0.33
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 3 Total Health Score,0.33
Number of Substantiated Complaints,deficiency_tag_609,0.33
deficiency_tag_803,deficiency_tag_812,0.33
deficiency_tag_610,Rating Cycle 3 Total Health Score,0.33
deficiency_tag_610,deficiency_tag_686,0.33
Rating Cycle 2 Total Health Score,Rating Cycle 3 Health Deficiency Score,0.33
Rating Cycle 1 Health Deficiency Score,Rating Cycle 2 Health Deficiency Score,0.33
Number of Payment Denials,deficiency_tag_609,0.33
deficiency_tag_804,Rating Cycle 3 Total Number of Health Deficiencies,0.33
Rating Cycle 3 Number of Complaint Health Deficiencies,special_focus_status_sff,0.33
severity_code_F,deficiency_tag_725,0.33
deficiency_tag_689,Rating Cycle 3 Number of Standard Health Deficiencies,0.33
Number of Substantiated Complaints,deficiency_tag_610,0.33
deficiency_tag_880,deficiency_tag_609,0.33
Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Deficiency Score,0.33
deficiency_tag_550,Rating Cycle 2 Number of Complaint Health Deficiencies,0.33
deficiency_tag_697,severity_code_E,0.33
Rating Cycle 2 Health Deficiency Score,Rating Cycle 3 Total Health Score,0.33
deficiency_tag_610,Rating Cycle 1 Number of Complaint Health Deficiencies,0.33
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_656,0.33
deficiency_tag_726,severity_code_D,0.33
deficiency_tag_804,deficiency_tag_803,0.33
deficiency_tag_558,severity_code_G,0.33
deficiency_tag_695,Rating Cycle 2 Total Number of Health Deficiencies,0.33
deficiency_tag_761,Rating Cycle 1 Total Number of Health Deficiencies,0.33
Total Amount of Fines in Dollars,abuse_icon,0.33
deficiency_tag_610,Rating Cycle 1 Total Number of Health Deficiencies,0.33
deficiency_tag_880,deficiency_tag_584,0.33
deficiency_tag_690,severity_code_E,0.33
deficiency_tag_697,deficiency_tag_689,0.33
short_stay_quality_rating_5,claims_quality_code_522,-0.33
Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,0.33
deficiency_tag_803,severity_code_D,0.33
deficiency_tag_880,Rating Cycle 1 Number of Complaint Health Deficiencies,0.33
severity_code_J,deficiency_tag_689,0.32
deficiency_tag_732,severity_code_E,0.32
deficiency_tag_600,deficiency_tag_925,0.32
Rating Cycle 3 Health Deficiency Score,Rating Cycle 2 Health Deficiency Score,0.32
deficiency_tag_725,deficiency_tag_684,0.32
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_761,0.32
Rating Cycle 2 Total Health Score,deficiency_tag_610,0.32
Rating Cycle 2 Health Deficiency Score,Rating Cycle 1 Number of Complaint Health Deficiencies,0.32
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 1 Total Health Score,0.32
severity_code_D,deficiency_tag_676,0.32
deficiency_tag_760,Rating Cycle 2 Number of Complaint Health Deficiencies,0.32
Rating Cycle 1 Health Deficiency Score,severity_code_J,0.32
deficiency_tag_880,Rating Cycle 3 Number of Complaint Health Deficiencies,0.32
Rating Cycle 3 Health Deficiency Score,deficiency_tag_610,0.32
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_677,0.32
severity_code_E,deficiency_tag_758,0.32
deficiency_tag_584,Rating Cycle 3 Number of Standard Health Deficiencies,0.32
quality_rating_4,long_stay_quality_rating_4,0.32
Rating Cycle 2 Total Health Score,Rating Cycle 1 Health Deficiency Score,0.32
deficiency_tag_880,Number of Substantiated Complaints,0.32
deficiency_tag_755,deficiency_tag_686,0.32
deficiency_tag_610,Rating Cycle 2 Health Deficiency Score,0.32
deficiency_tag_677,deficiency_tag_755,0.32
quality_rating_3,long_stay_quality_rating_3,0.32
Number of Substantiated Complaints,deficiency_tag_690,0.32
Rating Cycle 3 Health Deficiency Score,deficiency_tag_725,0.32
severity_code_E,deficiency_tag_679,0.32
deficiency_tag_584,deficiency_tag_812,0.32
severity_code_F,Rating Cycle 2 Number of Standard Health Deficiencies,0.32
deficiency_tag_804,deficiency_tag_677,0.32
deficiency_tag_804,deficiency_tag_584,0.32
deficiency_tag_880,severity_code_G,0.32
health_inspection_rating_5,Rating Cycle 1 Number of Standard Health Deficiencies,-0.32
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,0.32
deficiency_tag_656,deficiency_tag_641,0.32
deficiency_tag_585,severity_code_E,0.32
deficiency_tag_880,deficiency_tag_580,0.32
abuse_icon,Rating Cycle 1 Total Number of Health Deficiencies,0.32
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_558,0.32
quality_rating_5,claims_quality_code_552,-0.32
quality_rating_5,claims_quality_code_522,-0.32
severity_code_F,deficiency_tag_684,0.32
deficiency_tag_686,deficiency_tag_693,0.32
Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Deficiency Score,0.32
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_657,0.32
Rating Cycle 3 Number of Complaint Health Deficiencies,Number of Citations from Infection Control Inspections,0.32
